"FECHA_CORTE","FECHA_EMISION","MES_FACTURACION","COD_EMPRESA","RAZON_SOCIAL","GRUPO","COD_SIS_ELECTR","COD_TARIFA","ATARIFA","USO","SUMINISTROS","PROMEDIO_CONSUMO"
"20250306","20220131","202201",ELC ,ELECTRO CENTRO,PUBLICAS,SE0060,4,"1P2E-MT Presente en Fuera de Punta                                                                                                                    ",Industrial,13,2921
"20250306","20220131","202201",ELC ,ELECTRO CENTRO,PUBLICAS,SE0060,42,De 1 a 30 kW.h                                                                                                                                        ,Residencial,1,0
"20250306","20220131","202201",ELC ,ELECTRO CENTRO,PUBLICAS,SE0222,14,De 1 a 30 kW.h                                                                                                                                        ,Residencial,6,10
"20250306","20220131","202201",ELC ,ELECTRO CENTRO,PUBLICAS,SE1074,16,De 101 a 150 kW.h                                                                                                                                     ,Residencial,2,143
"20250306","20220131","202201",ELC ,ELECTRO CENTRO,PUBLICAS,SE0060,18,De 301 a 500 kW.h                                                                                                                                     ,Residencial,43,368
"20250306","20220131","202201",ELC ,ELECTRO CENTRO,PUBLICAS,SR0081,17,De 151 a 300 kW.h                                                                                                                                     ,Residencial,1,176
"20250306","20220131","202201",ELC ,ELECTRO CENTRO,PUBLICAS,SE1074,15,De 31 a 100 kW.h                                                                                                                                      ,Residencial,1,72
"20250306","20220131","202201",ELC ,ELECTRO CENTRO,PUBLICAS,SE0068,14,De 1 a 30 kW.h                                                                                                                                        ,Residencial,330,7
"20250306","20220131","202201",ELC ,ELECTRO CENTRO,PUBLICAS,SR0081,15,De 31 a 100 kW.h                                                                                                                                      ,Residencial,42,51
"20250306","20220131","202201",ELC ,ELECTRO CENTRO,PUBLICAS,SE0060,15,De 31 a 100 kW.h                                                                                                                                      ,Residencial,13,65
"20250306","20220131","202201",ELC ,ELECTRO CENTRO,PUBLICAS,SE0060,17,De 151 a 300 kW.h                                                                                                                                     ,Residencial,2,215
"20250306","20220131","202201",ELC ,ELECTRO CENTRO,PUBLICAS,SR0081,16,De 101 a 150 kW.h                                                                                                                                     ,Residencial,1,105
"20250306","20220131","202201",ELC ,ELECTRO CENTRO,PUBLICAS,SE0161,23,"1P-BT Pension Fija                                                                                                                                    ",Comercial,3,50
"20250306","20220131","202201",ELC ,ELECTRO CENTRO,PUBLICAS,SR0081,2,"2P2E-MT                                                                                                                                               ",Industrial,1,3382
"20250306","20220131","202201",ELC ,ELECTRO CENTRO,PUBLICAS,SR0081,22,"1E-BT No Residencial                                                                                                                                  ",Comercial,42,59
"20250306","20220131","202201",ELC ,ELECTRO CENTRO,PUBLICAS,SE0068,23,"1P-BT Pension Fija                                                                                                                                    ",Comercial,2,500
"20250306","20220131","202201",ELC ,ELECTRO CENTRO,PUBLICAS,SE0068,15,De 31 a 100 kW.h                                                                                                                                      ,Residencial,164,54
"20250306","20220131","202201",ELC ,ELECTRO CENTRO,PUBLICAS,SE0222,23,"1P-BT Pension Fija                                                                                                                                    ",Comercial,11,726
"20250306","20220131","202201",ELC ,ELECTRO CENTRO,PUBLICAS,SE0223,17,De 151 a 300 kW.h                                                                                                                                     ,Residencial,26,210
"20250306","20220131","202201",ELC ,ELECTRO CENTRO,PUBLICAS,SE0223,22,"1E-BT No Residencial                                                                                                                                  ",Comercial,98,123
"20250306","20220131","202201",ELC ,ELECTRO CENTRO,PUBLICAS,SR0081,18,De 301 a 500 kW.h                                                                                                                                     ,Residencial,3,360
"20250306","20220131","202201",ELC ,ELECTRO CENTRO,PUBLICAS,SR0081,20,De 751 a 1000 kW.h                                                                                                                                    ,Residencial,2,931
